"","counts_bg","counts_fg","freq_bg","freq_fg","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"LINC01597",54,55,8.7334699269594e-07,1.20155352569229e-06,107,0.419208528588347,0.10573,0.14989542089026
"NDE1",676,671,1.09330105011566e-05,1.4658953013446e-05,1277,0.419763878719148,0,0
"RUNX1",789,783,1.27605699488351e-05,1.71057529203103e-05,1443,0.419936444723826,0,0
"UBC",44003,43588,0.00071166458739999,0.000952242092325013,25141,0.420079743555332,0,0
"GGT1",59,60,9.54212454982601e-07,1.31078566439159e-06,116,0.420333179110754,0.09376,0.134964886999329
"WDR13",817,811,1.32134165376404e-05,1.77174528970264e-05,1512,0.420410261961948,0,0
"AP1S1",498,495,8.05420004375145e-06,1.08139817312307e-05,933,0.420562278479352,2e-05,5.43557245458386e-05
"AFAP1L1",62,63,1.0027317323546e-06,1.37632494761117e-06,105,0.420928440610747,0.14826,0.201087197975965
"REPIN1",627,623,1.01405289707473e-05,1.36103244819327e-05,1161,0.420972476608433,0,0
"PASK",1686,1673,2.72678338830621e-05,3.65490736087856e-05,2578,0.421295478929585,0,0
"STXBP1",64,65,1.03507791726926e-06,1.42001780309089e-06,122,0.421296886701543,0.09712,0.139132159002338
"DNAJC12",64,65,1.03507791726926e-06,1.42001780309089e-06,120,0.421296886701543,0.10153,0.144564517485613
"EPS15L1",415,413,6.71183336979287e-06,9.02257465656214e-06,800,0.421397908040563,4e-05,0.000105415813191315
"CASKIN2",65,66,1.05125100972659e-06,1.44186423083075e-06,108,0.421473312379449,0.13847,0.189406232192218
"HMGN4",304,303,4.916620107029e-06,6.61946760517755e-06,588,0.421631238906075,0.00038,0.000876965022421525
"STIL",66,67,1.06742410218393e-06,1.46371065857061e-06,126,0.421644829091852,0.08658,0.125797660079051
"LRRC8A",194,194,3.13757993672245e-06,4.23820698153282e-06,353,0.422183073751976,0.0077,0.0142053627760252
"SDHAF1",577,574,9.3318743478807e-06,1.25398495226796e-05,1103,0.422362884473276,0,0
"CCZ1B",200,200,3.23461849146645e-06,4.36928554797198e-06,393,0.42252250883322,0.00314,0.00621431164436241
"DCTN3",2675,2656,4.32630223233637e-05,5.80241120770679e-05,4426,0.422671458793006,0,0
"TMEM115",467,465,7.55283417757415e-06,1.01585888990349e-05,887,0.42276625273729,1e-05,2.79210069444444e-05
"ACADM",1519,1509,2.45669274426877e-05,3.29662594594486e-05,2695,0.422781831262317,0,0
"CD79A",16120,15999,0.000260710250412196,0.000349520997410019,10556,0.422791260543883,0,0
"HSCB",759,755,1.22753771751152e-05,1.64940529435942e-05,1403,0.423193798089054,0,0
"MARVELD1",77,78,1.24532811921458e-06,1.70402136370907e-06,142,0.423258341231448,0.07295,0.107894551097827
"CCDC180",78,79,1.26150121167191e-06,1.72586779144893e-06,156,0.423384039246768,0.05279,0.0806263224121557
"MRPS16",2167,2153,3.50470913550389e-05,4.70353589239184e-05,3618,0.423404411826527,0,0
"BRMS1",1337,1329,2.16234246154532e-05,2.90339024662738e-05,2476,0.423447405964691,0,0
"CALR",12078,11994,0.000195338610699659,0.00026202605431188,12105,0.423545245905857,0,0
"LINC00116",959,954,1.55099956665816e-05,2.08414920638264e-05,1751,0.423894099931984,0,0
"PMEPA1",521,519,8.42618117027009e-06,1.13382959969873e-05,925,0.423900528655931,3e-05,8.01786456169506e-05
"RHOU",83,84,1.34236667395857e-06,1.83509993014823e-06,145,0.423970101609537,0.07947,0.116360648685558
"SLC38A11",83,84,1.34236667395857e-06,1.83509993014823e-06,156,0.423970101609537,0.06223,0.0934139750320849
"SLC25A25",233,233,3.76833054255841e-06,5.09021766338736e-06,434,0.424083966466826,0.00317,0.00626597326778307
"CD81",1743,1733,2.81897001531301e-05,3.78598592731772e-05,2634,0.424197758463396,0,0
"ADAMTS1",388,387,6.27515987344491e-06,8.45456753532578e-06,331,0.424233401353206,0.03525,0.056206035444293
"PPP1CC",4733,4705,7.65472466005534e-05,0.000102787442516041,7115,0.42476103905682,0,0
"ACCS",91,92,1.47175141361723e-06,2.00987135206711e-06,183,0.424781973628986,0.03565,0.056766448019802
"AC002467.7",92,93,1.48792450607457e-06,2.03171777980697e-06,178,0.424874126177801,0.04119,0.0645729913488485
"RP11-467L13.7",741,738,1.19842615108832e-05,1.61226636720166e-05,957,0.424881411255615,0.00045,0.00102454432843744
"RALB",750,747,1.21298193429992e-05,1.63192815216753e-05,1348,0.424987905993648,0,0
"SNRNP70",2562,2548,4.14354628756852e-05,5.5664697881163e-05,4405,0.425008473695881,0,0
"FCER1G",7202,7160,0.000116478611877707,0.000156420422617397,3008,0.42504778231364,0,0
"SLC26A6",95,96,1.53644378344656e-06,2.09725706302655e-06,189,0.425139621909511,0.03377,0.054060572352868
"DHRS7B",440,439,7.11616068122618e-06,9.5905817777985e-06,837,0.42535181775443,3e-05,8.01786456169506e-05
"FXYD6",98,99,1.58496306081856e-06,2.16279634624613e-06,156,0.425389782789679,0.11113,0.156398882082695
"MVD",644,642,1.0415471542522e-05,1.40254066089901e-05,1225,0.425778851123775,0,0
"HLA-B",98470,97932,0.0015925644142735,0.00213946436141996,33092,0.425874765349827,0,0
"NCBP2-AS2",840,837,1.35853976641591e-05,1.82854600182627e-05,1587,0.425927917826845,0,0
"IGKC",5547778,5518710,0.0897247265267537,0.120564099232242,31406,0.426222437904695,0,0
"RP11-23P13.6",110,111,1.77904017030655e-06,2.42495347912445e-06,218,0.426260898083825,0.02429,0.0401638786788331
"FDX1L",110,111,1.77904017030655e-06,2.42495347912445e-06,218,0.426260898083825,0.02298,0.0382089273714138
"PEMT",307,307,4.96513938440099e-06,6.70685331613699e-06,586,0.426386050604475,0.00039,0.0008984315129812
"NECAP2",1880,1872,3.04054138197846e-05,4.08965127290177e-05,3361,0.42643589390147,0,0
"NOTCH4",311,311,5.02983175423032e-06,6.79423902709643e-06,441,0.426479808824754,0.00802,0.0147323415191319
"AC009501.4",1103,1099,1.78389209804374e-05,2.4009224086106e-05,2046,0.426492105744338,0,0
"PSD3",116,117,1.87607872505054e-06,2.55603204556361e-06,198,0.426632129565289,0.04247,0.0663693696101057
"TIMP2",745,743,1.20489538807125e-05,1.62318958107159e-05,981,0.426860177104955,0.00023,0.000547286850379138
"LINC00528",339,339,5.48267834303563e-06,7.40593900381251e-06,597,0.42707513156215,0.00071,0.0015690243902439
"APBB3",125,126,2.02163655716653e-06,2.75264989522235e-06,249,0.427125156955606,0.01498,0.0259922697235334
"STOML1",125,126,2.02163655716653e-06,2.75264989522235e-06,246,0.427125156955606,0.0169,0.0289797947487672
"NELFE",1646,1640,2.66209101847688e-05,3.58281414933702e-05,2942,0.427145158257557,0,0
"CTD-2095E4.5",130,131,2.10250201945319e-06,2.86188203392165e-06,258,0.427370840055973,0.01433,0.0249789703292237
"ARHGAP11A",131,132,2.11867511191052e-06,2.88372846166151e-06,239,0.42741782281403,0.02251,0.0375195828475191
"URB1-AS1",133,134,2.15102129682519e-06,2.92742131714123e-06,263,0.427509758539098,0.01302,0.022850268721866
"SQSTM1",8677,8641,0.000140333923252272,0.000188774982100129,9970,0.427540143162597,0,0
"MRPS17",134,135,2.16719438928252e-06,2.94926774488109e-06,267,0.427554740528129,0.01225,0.0216763168752579
"SERPINB1",3637,3623,5.88215372673173e-05,7.91496077015124e-05,5081,0.427608722807513,0,0
"ELMOD3",604,603,9.76854784422867e-06,1.31733959271355e-05,1172,0.427627810729578,0,0
"TRNAU1AP",846,844,1.36824362189031e-05,1.84383850124418e-05,1596,0.427684642730009,0,0
"EI24",1089,1086,1.76124976860348e-05,2.37252205254879e-05,1922,0.427721903067441,0,0
"RP11-404F10.2",142,143,2.29657912894118e-06,3.12403916679997e-06,277,0.427892695495781,0.01215,0.0215230483271375
